PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)
1056.0,1083.0,865.0,1723.0,898.0,37.8,17.4,1.1219,2.2
1220.0,1334.0,695.0,2066.0,1215.0,36.6,20.6,1.2445,3.5
1268.0,1393.0,650.0,2144.0,1334.0,32.5,26.0,1.2502,3.9
1256.0,1430.0,660.0,2151.0,1380.0,30.8,27.2,1.1832,4.5
1213.0,1341.0,683.0,2090.0,1601.0,28.8,30.2,1.1761,3.8
1145.0,1170.0,751.0,1894.0,1376.0,26.7,35.4,1.2233,2.8
1050.0,1011.0,836.0,1739.0,1161.0,25.3,40.7,1.291,1.7
972.0,902.0,933.0,1647.0,878.0,24.9,41.2,1.2809,1.2
1020.0,984.0,853.0,1753.0,1031.0,23.7,45.1,1.3033,1.6
934.0,878.0,940.0,1644.0,847.0,22.5,49.0,1.3151,1.0
914.0,801.0,965.0,1609.0,908.0,22.3,50.6,1.3486,0.9
824.0,698.0,1107.0,1517.0,733.0,22.0,50.5,1.3199,0.5
817.0,672.0,1113.0,1501.0,751.0,20.8,54.4,1.3229,0.5
833.0,708.0,1084.0,1525.0,799.0,20.3,56.0,1.3204,0.5
935.0,905.0,899.0,1675.0,954.0,20.5,54.8,1.3073,1.0
1297.0,1359.0,630.0,2214.0,1425.0,21.7,50.6,1.2981,3.5
1496.0,1705.0,507.0,2691.0,2147.0,23.4,46.1,1.3091,6.4
1201.0,1224.0,701.0,1987.0,1532.0,25.1,43.0,1.3488,2.9
1267.0,1276.0,676.0,2059.0,1570.0,30.1,32.8,1.3795,3.4
1224.0,1228.0,711.0,1972.0,1380.0,34.7,25.9,1.4069,2.8
1247.0,1257.0,701.0,2000.0,1337.0,37.2,23.2,1.4478,2.8
1183.0,1241.0,721.0,1937.0,1308.0,39.5,18.3,1.2917,2.8
1078.0,1116.0,815.0,1761.0,1013.0,40.6,15.3,1.1485,2.3
1076.0,1012.0,894.0,1665.0,816.0,40.3,16.1,1.1896,1.8
1052.0,1019.0,896.0,1610.0,836.0,40.3,14.2,1.0494,2.0
1287.0,1340.0,699.0,2008.0,1267.0,39.6,16.7,1.1867,3.5
1460.0,1493.0,586.0,2288.0,1649.0,37.3,23.4,1.4672,4.9
1357.0,1445.0,620.0,2195.0,1622.0,33.7,27.7,1.4213,4.6
1234.0,1257.0,695.0,2019.0,1349.0,30.7,32.2,1.3983,3.4
1151.0,1154.0,747.0,1894.0,1186.0,28.4,35.7,1.3549,2.7
1065.0,1038.0,805.0,1763.0,1026.0,26.5,38.6,1.3154,1.9
984.0,929.0,917.0,1654.0,817.0,25.4,40.1,1.2822,1.5
938.0,881.0,956.0,1607.0,662.0,24.1,43.3,1.2839,1.0
878.0,774.0,1065.0,1527.0,552.0,23.9,45.6,1.3328,0.7
919.0,807.0,967.0,1598.0,775.0,22.0,52.8,1.3752,1.0
836.0,709.0,1085.0,1498.0,646.0,20.7,56.1,1.3565,0.6
872.0,782.0,1001.0,1607.0,874.0,19.5,59.4,1.3328,0.9
949.0,929.0,887.0,1711.0,973.0,20.0,56.6,1.3095,1.2
1227.0,1292.0,661.0,2087.0,1327.0,21.7,53.9,1.3848,2.9
1360.0,1561.0,545.0,2525.0,1626.0,23.7,49.0,1.4152,4.8
1318.0,1420.0,586.0,2316.0,1640.0,25.9,44.3,1.4544,4.3
1196.0,1208.0,705.0,1981.0,1341.0,30.1,34.3,1.4414,3.1
1152.0,1102.0,770.0,1868.0,1113.0,33.5,27.2,1.3859,2.4
1220.0,1157.0,715.0,1935.0,1224.0,35.4,26.1,1.4806,2.8
1182.0,1120.0,735.0,1893.0,1095.0,37.9,23.2,1.502,2.5
1167.0,1210.0,719.0,1944.0,1152.0,39.7,18.7,1.3306,2.6
1142.0,1109.0,782.0,1789.0,1047.0,40.4,17.2,1.2774,2.3
1157.0,1105.0,779.0,1792.0,982.0,40.0,18.8,1.363,2.4
1274.0,1329.0,670.0,2054.0,1320.0,38.9,18.8,1.29,3.5
1372.0,1451.0,631.0,2183.0,1541.0,35.8,22.1,1.2792,4.8
1373.0,1440.0,635.0,2183.0,1510.0,33.1,25.9,1.2923,5.1
1290.0,1393.0,655.0,2146.0,1511.0,30.9,28.2,1.2388,4.7
1056.0,1051.0,826.0,1758.0,1078.0,27.5,32.6,1.176,2.4
1116.0,1123.0,768.0,1826.0,1235.0,26.3,34.3,1.1605,2.5
1106.0,1122.0,783.0,1813.0,1202.0,25.5,34.1,1.0968,2.7
1018.0,992.0,839.0,1710.0,1103.0,24.7,39.3,1.2065,1.5
919.0,880.0,915.0,1628.0,1013.0,24.2,39.5,1.1764,1.1
807.0,681.0,1092.0,1435.0,765.0,24.8,37.8,1.1639,0.6
787.0,620.0,1176.0,1403.0,618.0,22.7,43.8,1.1952,0.5
789.0,623.0,1146.0,1407.0,663.0,22.0,44.3,1.1553,0.4
825.0,709.0,1050.0,1491.0,813.0,19.3,51.4,1.1364,0.6
912.0,858.0,923.0,1608.0,894.0,19.8,50.4,1.1525,1.0
1339.0,1425.0,595.0,2264.0,1495.0,20.5,48.2,1.1474,4.6
1355.0,1526.0,567.0,2397.0,1658.0,22.8,42.7,1.1667,4.8
1250.0,1336.0,632.0,2104.0,1506.0,25.6,35.8,1.1548,4.0
1076.0,1055.0,817.0,1734.0,993.0,34.4,21.0,1.1248,2.0
1096.0,1087.0,801.0,1759.0,910.0,35.9,19.6,1.1422,2.0
1093.0,1094.0,797.0,1769.0,912.0,37.2,18.2,1.1389,2.0
1027.0,1066.0,837.0,1689.0,814.0,37.3,16.6,1.0435,1.9
1026.0,1085.0,848.0,1654.0,1341.0,37.4,14.9,0.9413,1.9
1015.0,1062.0,877.0,1668.0,847.0,36.4,15.1,0.9005,1.9
1028.0,1155.0,832.0,1691.0,925.0,35.4,14.7,0.8323,2.6
1074.0,1270.0,776.0,1833.0,1087.0,34.2,14.2,0.7502,3.2
1124.0,1289.0,765.0,1863.0,1132.0,31.1,18.7,0.8302,3.4
1111.0,1256.0,765.0,1851.0,1197.0,29.1,22.0,0.8702,3.4
1062.0,1183.0,794.0,1731.0,1229.0,27.2,22.5,0.7962,2.9
1072.0,1148.0,805.0,1683.0,1171.0,25.3,24.6,0.7796,2.7
936.0,871.0,990.0,1430.0,921.0,24.9,27.2,0.8429,1.3
988.0,937.0,894.0,1543.0,1008.0,23.5,32.2,0.922,1.3
924.0,839.0,957.0,1453.0,849.0,23.5,32.7,0.9349,0.9
839.0,725.0,1052.0,1368.0,668.0,24.1,32.0,0.9467,0.6
826.0,666.0,1109.0,1349.0,641.0,22.6,34.8,0.9441,0.5
853.0,716.0,1047.0,1414.0,707.0,20.8,40.2,0.9725,0.5
918.0,810.0,936.0,1524.0,939.0,18.8,46.6,1.0027,0.9
890.0,791.0,950.0,1489.0,886.0,19.8,46.0,1.0524,0.7
865.0,752.0,996.0,1451.0,837.0,21.3,42.3,1.0625,0.6
1003.0,937.0,850.0,1622.0,1005.0,21.3,41.8,1.0449,1.3
1123.0,1088.0,746.0,1789.0,1191.0,24.0,36.6,1.0772,1.9
1146.0,1119.0,746.0,1823.0,1200.0,27.2,30.7,1.0884,2.1
1110.0,1021.0,820.0,1724.0,971.0,32.3,23.6,1.1271,1.8
1126.0,979.0,849.0,1700.0,907.0,31.9,25.8,1.2023,1.8
1067.0,962.0,860.0,1658.0,802.0,35.1,21.8,1.2093,1.6
1008.0,866.0,937.0,1573.0,695.0,36.0,20.5,1.1995,1.2
1062.0,924.0,892.0,1683.0,777.0,37.0,20.1,1.2423,1.2
1082.0,939.0,869.0,1678.0,818.0,36.4,21.0,1.2515,1.4
1042.0,897.0,901.0,1605.0,681.0,35.2,22.6,1.267,1.3
1022.0,823.0,964.0,1599.0,631.0,32.5,27.6,1.3229,1.1
1024.0,828.0,936.0,1601.0,641.0,29.1,35.1,1.3919,1.1
1048.0,828.0,922.0,1618.0,683.0,26.9,39.7,1.3898,1.1
1153.0,1022.0,765.0,1806.0,1013.0,26.1,42.2,1.4039,1.8
1195.0,1077.0,731.0,1860.0,1151.0,25.5,43.8,1.4095,2.3
1245.0,1091.0,734.0,1870.0,1134.0,24.9,45.6,1.4135,2.6
1086.0,946.0,847.0,1729.0,945.0,25.2,45.2,1.4262,2.0
972.0,804.0,955.0,1620.0,734.0,25.4,45.5,1.457,1.0
880.0,677.0,1109.0,1500.0,554.0,26.2,43.6,1.4599,0.6
906.0,719.0,1050.0,1561.0,612.0,24.3,48.2,1.4476,0.6
879.0,658.0,1121.0,1511.0,564.0,24.4,48.3,1.4499,0.5
842.0,597.0,1237.0,1444.0,512.0,23.3,51.0,1.4346,0.4
797.0,543.0,1466.0,1347.0,410.0,21.6,48.1,1.2259,0.4
796.0,526.0,1534.0,1322.0,392.0,21.4,47.8,1.2005,0.4
767.0,520.0,1526.0,1287.0,377.0,20.5,46.8,1.1152,0.4
784.0,562.0,1460.0,1286.0,389.0,20.8,40.7,0.9882,0.5
811.0,622.0,1315.0,1307.0,432.0,22.3,35.3,0.9371,0.6
838.0,620.0,1292.0,1325.0,502.0,21.7,38.3,0.9842,0.7
821.0,632.0,1295.0,1302.0,469.0,24.4,29.6,0.8921,0.7
793.0,579.0,1380.0,1303.0,427.0,23.4,34.9,0.991,0.6
794.0,567.0,1426.0,1306.0,406.0,23.5,35.2,1.0019,0.5
821.0,614.0,1309.0,1350.0,430.0,22.4,39.0,1.04,0.6
849.0,628.0,1274.0,1379.0,453.0,22.0,41.7,1.0865,0.8
852.0,651.0,1246.0,1387.0,470.0,21.7,42.7,1.0949,0.8
847.0,645.0,1245.0,1364.0,480.0,20.7,43.4,1.047,1.0
849.0,682.0,1215.0,1378.0,472.0,20.3,42.6,1.0045,1.0
865.0,687.0,1191.0,1388.0,521.0,20.3,44.1,1.0392,1.0
848.0,689.0,1180.0,1403.0,520.0,20.1,45.2,1.0538,0.9
807.0,606.0,1340.0,1337.0,440.0,19.8,45.7,1.0424,0.7
814.0,627.0,1305.0,1351.0,446.0,19.6,45.3,1.0244,0.8
785.0,582.0,1377.0,1311.0,417.0,19.4,45.9,1.0242,0.7
748.0,515.0,1580.0,1261.0,381.0,19.7,44.8,1.0172,0.5
716.0,461.0,1795.0,1235.0,350.0,19.5,46.3,1.0363,0.3
708.0,437.0,1941.0,1227.0,334.0,19.0,49.0,1.063,0.3
748.0,477.0,1703.0,1301.0,380.0,19.1,52.7,1.1545,0.3
888.0,683.0,1196.0,1483.0,563.0,20.3,49.3,1.1596,0.7
973.0,858.0,941.0,1584.0,779.0,21.1,46.2,1.1389,1.5
993.0,927.0,886.0,1665.0,842.0,21.5,44.5,1.129,1.8
929.0,825.0,992.0,1561.0,692.0,22.4,43.6,1.1637,1.4
962.0,858.0,941.0,1613.0,779.0,24.8,39.1,1.2039,1.5
906.0,786.0,1026.0,1538.0,633.0,23.9,42.1,1.2335,1.2
915.0,776.0,1029.0,1544.0,616.0,25.5,38.3,1.2328,1.2
928.0,787.0,1012.0,1585.0,606.0,25.4,39.2,1.2534,1.3
855.0,698.0,1134.0,1449.0,526.0,25.6,37.0,1.2006,1.0
920.0,783.0,1046.0,1550.0,588.0,24.5,38.4,1.1669,1.4
917.0,842.0,985.0,1563.0,674.0,23.9,39.9,1.1639,1.6
1072.0,1057.0,812.0,1820.0,885.0,24.2,39.2,1.1665,2.7
1000.0,985.0,846.0,1726.0,879.0,23.5,41.2,1.1759,2.3
914.0,845.0,972.0,1583.0,703.0,22.3,44.9,1.1973,1.5
888.0,799.0,1023.0,1531.0,637.0,21.7,46.5,1.1917,1.4
851.0,718.0,1134.0,1471.0,561.0,22.0,44.9,1.1699,1.0
870.0,749.0,1096.0,1487.0,612.0,22.2,44.1,1.1654,1.1
883.0,773.0,1062.0,1514.0,621.0,21.8,45.6,1.1763,1.2
886.0,767.0,1055.0,1532.0,702.0,21.6,46.0,1.1742,1.2
792.0,637.0,1249.0,1400.0,559.0,21.6,45.8,1.1715,0.7
754.0,535.0,1490.0,1335.0,435.0,20.7,48.3,1.168,0.5
732.0,503.0,1525.0,1321.0,441.0,21.0,47.1,1.1546,0.4
770.0,586.0,1326.0,1392.0,527.0,20.8,48.5,1.18,0.4
797.0,654.0,1097.0,1450.0,720.0,20.8,49.4,1.1994,0.5
915.0,877.0,897.0,1651.0,937.0,19.9,51.8,1.1911,1.0
1287.0,1423.0,610.0,2319.0,1482.0,20.9,49.3,1.2049,4.4
1195.0,1424.0,609.0,2244.0,1489.0,23.7,39.9,1.1508,4.0
1003.0,1009.0,823.0,1710.0,1015.0,25.3,35.8,1.1421,2.4
1037.0,1046.0,838.0,1763.0,1004.0,28.8,29.1,1.1349,2.1
1114.0,1181.0,747.0,1928.0,1129.0,30.3,26.9,1.1399,2.7
1085.0,1171.0,767.0,1863.0,1068.0,32.8,23.3,1.138,2.8
1024.0,1087.0,824.0,1745.0,924.0,33.9,21.4,1.1135,2.3
1017.0,1057.0,859.0,1698.0,861.0,35.3,19.6,1.1036,2.0
1053.0,1173.0,785.0,1808.0,981.0,34.0,20.8,1.0898,2.6
1065.0,1198.0,766.0,1852.0,1043.0,35.3,18.8,1.0572,2.7
1136.0,1250.0,722.0,1940.0,1124.0,32.6,24.1,1.1688,3.1
1100.0,1202.0,732.0,1856.0,1004.0,30.8,28.7,1.2507,3.1
1143.0,1319.0,673.0,2001.0,1190.0,28.7,31.2,1.2099,3.6
1083.0,1157.0,742.0,1884.0,1072.0,26.8,35.1,1.2201,2.9
1009.0,1034.0,806.0,1763.0,925.0,25.3,39.4,1.2524,2.2
969.0,983.0,853.0,1680.0,862.0,23.9,40.9,1.1966,2.0
1029.0,993.0,816.0,1728.0,969.0,23.0,44.4,1.2354,2.1
1064.0,956.0,812.0,1770.0,932.0,22.2,53.9,1.4237,1.9
986.0,853.0,865.0,1645.0,794.0,20.9,59.8,1.4659,1.4
872.0,709.0,1034.0,1522.0,599.0,21.3,58.1,1.457,0.8
840.0,654.0,1124.0,1489.0,614.0,20.8,58.4,1.4189,0.6
812.0,626.0,1134.0,1471.0,625.0,20.3,58.9,1.3878,0.6
810.0,612.0,1163.0,1462.0,595.0,21.3,54.5,1.3682,0.5
936.0,849.0,882.0,1640.0,886.0,20.6,57.4,1.3753,1.0
1244.0,1265.0,640.0,2084.0,1257.0,21.3,56.9,1.4226,2.7
1440.0,1556.0,517.0,2530.0,1561.0,22.9,52.4,1.4442,5.0
1180.0,1145.0,713.0,1929.0,1191.0,24.1,46.5,1.3802,3.3
1126.0,1058.0,765.0,1879.0,1061.0,27.1,38.8,1.3705,2.4
1005.0,910.0,881.0,1670.0,751.0,28.4,34.4,1.314,1.7
1032.0,940.0,862.0,1703.0,733.0,30.1,30.9,1.2958,1.7
1087.0,1106.0,755.0,1839.0,906.0,32.7,25.8,1.2547,2.4
1090.0,1119.0,756.0,1811.0,902.0,32.4,25.7,1.2271,2.2
1072.0,1050.0,802.0,1748.0,836.0,33.6,24.4,1.2472,2.2
1101.0,1057.0,797.0,1772.0,863.0,33.0,26.0,1.2877,2.3
1111.0,1086.0,787.0,1802.0,824.0,33.2,23.7,1.1855,2.6
1048.0,1070.0,807.0,1737.0,842.0,31.3,25.4,1.1415,2.3
1197.0,1249.0,698.0,1986.0,1132.0,28.3,31.7,1.1968,3.3
1173.0,1217.0,695.0,1930.0,1175.0,26.5,35.0,1.1981,3.5
1075.0,1079.0,764.0,1798.0,1111.0,24.4,40.0,1.2079,2.5
1067.0,1106.0,745.0,1840.0,1125.0,23.3,43.4,1.2251,2.5
1060.0,1099.0,742.0,1838.0,1077.0,22.5,45.3,1.2226,2.4
1081.0,1099.0,749.0,1854.0,1087.0,21.8,47.8,1.2325,2.5
1017.0,975.0,822.0,1722.0,1014.0,20.9,51.0,1.2446,2.1
836.0,734.0,1035.0,1501.0,801.0,20.8,51.7,1.2572,1.0
831.0,727.0,1038.0,1522.0,802.0,19.3,57.1,1.2661,0.8
798.0,677.0,1092.0,1473.0,696.0,20.2,53.8,1.2569,0.5
966.0,951.0,812.0,1735.0,996.0,18.3,60.8,1.2635,1.3
1277.0,1388.0,611.0,2241.0,1513.0,20.2,54.5,1.2777,3.6
1335.0,1496.0,562.0,2385.0,1598.0,21.9,49.9,1.2957,4.8
1297.0,1353.0,588.0,2128.0,1690.0,25.2,43.0,1.3548,3.7
1041.0,979.0,837.0,1705.0,1053.0,28.0,36.6,1.3603,1.9
1027.0,936.0,867.0,1696.0,931.0,27.1,38.3,1.3548,1.7
1037.0,969.0,841.0,1728.0,865.0,27.4,37.0,1.3319,1.9
1014.0,954.0,865.0,1697.0,818.0,29.4,32.9,1.3244,1.8
1007.0,971.0,866.0,1682.0,802.0,31.3,28.7,1.2885,1.7
998.0,958.0,881.0,1657.0,778.0,31.5,28.7,1.3058,1.8
1014.0,958.0,878.0,1684.0,767.0,30.9,30.3,1.3306,1.7
1157.0,1160.0,738.0,1936.0,1000.0,31.4,30.3,1.3689,2.8
1225.0,1281.0,683.0,2082.0,1143.0,30.7,31.4,1.3686,3.6
1131.0,1194.0,726.0,1907.0,1009.0,29.0,33.4,1.3169,3.3
1111.0,1126.0,754.0,1883.0,1076.0,27.3,37.5,1.342,2.9
976.0,909.0,878.0,1675.0,830.0,25.8,40.9,1.3389,1.7
1016.0,929.0,868.0,1724.0,853.0,25.2,43.0,1.358,1.7
1177.0,1156.0,684.0,1983.0,1310.0,24.6,45.8,1.394,2.8
1013.0,999.0,791.0,1751.0,1119.0,24.0,47.3,1.3914,1.8
886.0,813.0,936.0,1592.0,918.0,23.5,48.3,1.3777,1.0
791.0,658.0,1140.0,1467.0,609.0,24.0,45.8,1.3467,0.5
762.0,618.0,1214.0,1431.0,516.0,22.2,50.7,1.3405,0.4
740.0,568.0,1259.0,1404.0,510.0,22.8,48.1,1.3184,0.3
775.0,628.0,1178.0,1437.0,554.0,21.9,50.1,1.3002,0.4
872.0,833.0,947.0,1598.0,760.0,20.4,54.1,1.28,0.8
1123.0,1134.0,711.0,1922.0,1170.0,20.8,52.6,1.2758,2.2
1306.0,1522.0,535.0,2450.0,1545.0,22.8,47.9,1.3156,4.4
1237.0,1332.0,605.0,2157.0,1508.0,25.2,42.9,1.3552,3.7
1143.0,1146.0,701.0,1917.0,1292.0,29.3,34.8,1.397,2.5
1170.0,1168.0,703.0,1949.0,1287.0,33.3,27.8,1.4013,2.5
1116.0,1128.0,739.0,1856.0,1042.0,34.9,24.9,1.363,2.3
1054.0,1069.0,785.0,1766.0,817.0,36.1,22.7,1.3324,2.0
1083.0,1097.0,765.0,1810.0,847.0,37.6,21.1,1.3478,2.0
1078.0,1069.0,782.0,1780.0,806.0,37.3,21.9,1.3761,2.1
1104.0,1143.0,747.0,1840.0,896.0,37.2,21.6,1.3514,2.4
1170.0,1257.0,693.0,1956.0,1069.0,35.6,23.4,1.341,3.1
1091.0,1201.0,738.0,1834.0,945.0,33.1,24.3,1.2087,2.9
1216.0,1318.0,673.0,2043.0,1168.0,30.5,29.5,1.2635,3.5
1125.0,1179.0,719.0,1921.0,1065.0,28.7,35.8,1.3834,2.9
971.0,881.0,916.0,1635.0,672.0,26.6,42.2,1.4452,1.5
1062.0,984.0,816.0,1796.0,842.0,25.2,46.6,1.4733,1.7
1140.0,1109.0,714.0,1892.0,1123.0,24.7,47.7,1.4649,2.2
1038.0,992.0,802.0,1731.0,1007.0,24.4,47.4,1.4301,1.6
935.0,836.0,909.0,1604.0,855.0,23.3,49.9,1.4135,1.0
861.0,729.0,1043.0,1528.0,689.0,23.8,47.3,1.3783,0.6
839.0,678.0,1062.0,1478.0,622.0,22.9,50.2,1.3808,0.6
850.0,703.0,1021.0,1511.0,658.0,21.2,55.0,1.3689,0.6
817.0,651.0,1109.0,1472.0,628.0,21.7,52.6,1.35,0.5
825.0,667.0,1079.0,1475.0,659.0,22.8,48.9,1.3424,0.5
921.0,792.0,943.0,1595.0,799.0,23.5,47.6,1.3611,0.9
1031.0,945.0,806.0,1697.0,964.0,24.6,44.9,1.3661,1.4
1092.0,967.0,801.0,1774.0,910.0,27.0,39.9,1.402,1.6
1095.0,923.0,843.0,1736.0,999.0,29.3,35.9,1.4411,1.6
1097.0,964.0,822.0,1743.0,853.0,31.2,32.4,1.4517,1.7
1101.0,972.0,819.0,1714.0,752.0,34.4,26.6,1.423,1.7
1060.0,991.0,833.0,1718.0,778.0,36.1,22.1,1.3004,1.5
732.0,544.0,1353.0,1367.0,466.0,18.9,55.2,1.1895,0.3
809.0,681.0,1108.0,1463.0,609.0,18.2,57.6,1.193,0.5
934.0,911.0,857.0,1639.0,863.0,18.6,56.0,1.1865,1.3
1132.0,1220.0,691.0,1910.0,1203.0,20.8,48.0,1.1702,2.5
1221.0,1386.0,626.0,2138.0,1412.0,23.3,38.6,1.0919,3.7
1024.0,1111.0,770.0,1753.0,1069.0,25.1,32.4,1.017,2.5
938.0,987.0,862.0,1597.0,817.0,27.8,25.8,0.9473,1.8
869.0,897.0,965.0,1480.0,649.0,29.6,21.0,0.8548,1.5
846.0,930.0,947.0,1467.0,598.0,30.2,18.0,0.7613,1.5
838.0,868.0,1005.0,1454.0,540.0,30.1,18.5,0.7747,1.2
875.0,912.0,978.0,1504.0,601.0,29.5,19.4,0.7872,1.4
907.0,961.0,920.0,1564.0,668.0,31.1,18.2,0.8079,1.6
889.0,939.0,920.0,1492.0,647.0,30.3,19.0,0.8103,1.6
969.0,1064.0,834.0,1645.0,816.0,30.1,19.3,0.8083,2.2
1051.0,1157.0,760.0,1787.0,963.0,28.6,22.3,0.859,3.0
1043.0,1181.0,736.0,1813.0,1010.0,26.1,28.3,0.9407,3.0
1043.0,1121.0,736.0,1793.0,967.0,24.5,35.7,1.0807,2.7
1007.0,1027.0,798.0,1737.0,904.0,23.1,41.5,1.1582,2.1
966.0,959.0,838.0,1686.0,852.0,21.8,46.3,1.1913,1.6
920.0,875.0,915.0,1594.0,744.0,20.9,48.9,1.1945,1.3
889.0,831.0,956.0,1570.0,760.0,20.5,49.9,1.1903,1.1
825.0,715.0,1062.0,1462.0,613.0,20.0,50.9,1.1794,0.7
758.0,580.0,1215.0,1374.0,531.0,22.1,44.3,1.1665,0.4
735.0,533.0,1338.0,1350.0,493.0,21.0,47.5,1.1666,0.2
719.0,522.0,1385.0,1343.0,509.0,19.8,50.3,1.1444,0.2
757.0,596.0,1236.0,1381.0,560.0,19.0,52.8,1.1489,0.3
890.0,831.0,922.0,1594.0,826.0,17.8,56.5,1.1375,0.9
1181.0,1255.0,632.0,2002.0,1334.0,18.2,55.8,1.1529,3.1
1332.0,1556.0,523.0,2394.0,1660.0,20.6,47.7,1.1448,5.0
1128.0,1124.0,717.0,1832.0,1362.0,22.8,41.9,1.1496,2.8
1128.0,1126.0,725.0,1856.0,1316.0,27.1,31.7,1.1147,2.8
1064.0,1069.0,766.0,1766.0,1089.0,30.4,26.4,1.131,2.1
1139.0,1240.0,702.0,1940.0,1129.0,31.1,26.2,1.1647,3.1
1121.0,1214.0,707.0,1912.0,1120.0,31.4,25.3,1.1444,3.0
1032.0,1083.0,776.0,1772.0,916.0,30.8,26.7,1.168,2.1
1040.0,1022.0,826.0,1747.0,812.0,31.8,25.6,1.1868,1.7
1076.0,1105.0,762.0,1782.0,959.0,33.5,22.9,1.1649,2.2
1177.0,1310.0,656.0,2011.0,1189.0,33.1,23.5,1.1673,3.5
1196.0,1303.0,654.0,2017.0,1199.0,31.7,25.9,1.1883,3.6
1204.0,1381.0,623.0,2085.0,1283.0,29.0,30.4,1.2013,4.1
1166.0,1304.0,646.0,2016.0,1291.0,27.4,33.6,1.2095,4.0
959.0,949.0,857.0,1640.0,949.0,25.2,36.4,1.1528,1.8
1004.0,997.0,813.0,1726.0,1018.0,24.0,39.6,1.1662,1.7
1050.0,1105.0,729.0,1807.0,1122.0,23.8,39.6,1.1558,2.4
965.0,900.0,864.0,1631.0,968.0,22.9,43.6,1.1974,1.2
849.0,744.0,1004.0,1496.0,806.0,22.8,43.9,1.202,0.8
809.0,666.0,1093.0,1455.0,714.0,21.8,47.3,1.2189,0.5
777.0,609.0,1170.0,1405.0,644.0,21.7,47.3,1.2135,0.3
768.0,597.0,1155.0,1396.0,606.0,21.7,46.8,1.2031,0.4
917.0,842.0,934.0,1656.0,819.0,20.3,52.3,1.2367,1.0
1252.0,1380.0,579.0,2210.0,1462.0,20.5,52.3,1.245,3.8
1224.0,1268.0,605.0,2046.0,1478.0,21.7,49.6,1.2673,3.2
1277.0,1300.0,608.0,2090.0,1598.0,24.0,43.1,1.2677,3.5
1149.0,1192.0,672.0,1944.0,1449.0,28.5,31.7,1.2144,3.2
1091.0,1082.0,746.0,1790.0,1221.0,32.2,25.1,1.189,2.3
1053.0,1087.0,763.0,1762.0,1023.0,34.9,20.5,1.1279,2.2
1023.0,1042.0,796.0,1711.0,910.0,35.4,19.9,1.1222,2.1
1085.0,1075.0,767.0,1786.0,913.0,34.4,22.5,1.205,1.9
1116.0,1120.0,724.0,1854.0,1035.0,34.8,22.8,1.2488,2.4
1111.0,1131.0,735.0,1825.0,1085.0,34.3,22.4,1.1907,2.5
1210.0,1316.0,645.0,2030.0,1278.0,32.5,25.3,1.2165,3.6
1250.0,1339.0,616.0,2075.0,1383.0,31.3,27.3,1.2234,3.9
1297.0,1408.0,595.0,2134.0,1473.0,30.2,29.0,1.2224,4.4
1313.0,1345.0,603.0,2118.0,1507.0,28.5,33.3,1.2775,4.8
1146.0,1084.0,713.0,1829.0,1215.0,27.3,35.3,1.2606,2.5
1199.0,1152.0,685.0,1897.0,1242.0,26.1,37.8,1.2575,2.8
1274.0,1197.0,626.0,2023.0,1356.0,24.7,47.1,1.44,3.2
1243.0,1072.0,675.0,1978.0,1195.0,23.6,59.8,1.7193,2.6
1054.0,923.0,783.0,1793.0,899.0,23.3,60.5,1.706,1.5
962.0,778.0,929.0,1645.0,726.0,23.3,59.4,1.6753,1.0
915.0,690.0,983.0,1570.0,743.0,22.9,57.7,1.5902,0.8
871.0,639.0,1062.0,1528.0,684.0,23.7,53.5,1.546,0.6
877.0,658.0,1047.0,1530.0,779.0,21.2,60.9,1.5092,0.6
893.0,696.0,1008.0,1548.0,801.0,22.1,56.2,1.48,0.7
1030.0,851.0,824.0,1700.0,983.0,21.9,57.0,1.4742,1.2
1059.0,926.0,783.0,1750.0,989.0,24.7,45.9,1.4061,1.5
1020.0,860.0,864.0,1649.0,875.0,27.0,40.8,1.4286,1.3
1045.0,840.0,879.0,1656.0,807.0,29.1,37.4,1.4833,1.6
1029.0,866.0,874.0,1651.0,727.0,31.1,32.4,1.4351,1.5
959.0,763.0,976.0,1561.0,549.0,31.9,30.3,1.4125,1.2
975.0,798.0,939.0,1576.0,570.0,32.8,28.9,1.412,1.1
988.0,813.0,927.0,1596.0,596.0,33.4,27.8,1.4119,1.2
971.0,818.0,942.0,1565.0,585.0,35.3,23.7,1.3331,1.3
999.0,899.0,869.0,1629.0,637.0,35.8,22.4,1.2915,1.4
989.0,889.0,889.0,1602.0,664.0,35.3,20.8,1.1664,1.6
1075.0,1020.0,802.0,1732.0,797.0,33.3,23.9,1.2085,2.1
1190.0,1177.0,695.0,1934.0,1046.0,30.3,30.8,1.3044,3.0
1172.0,1108.0,706.0,1878.0,1058.0,28.3,34.5,1.3084,2.8
1256.0,1340.0,594.0,2176.0,1214.0,27.1,38.9,1.3758,3.8
1190.0,1203.0,658.0,1967.0,1056.0,25.4,43.2,1.3805,3.2
1249.0,1310.0,601.0,2114.0,1280.0,24.6,45.3,1.3767,4.1
1072.0,1120.0,711.0,1838.0,1045.0,23.7,46.0,1.3346,2.6
1035.0,1011.0,750.0,1752.0,1039.0,23.0,48.1,1.3322,2.0
839.0,690.0,1030.0,1457.0,640.0,24.8,43.4,1.3366,0.9
